NewCol,yield_1931,yield_1932,pct_chg
Grand Rapids: Glabron,29.1,14.4,-50.5
Crookston: Svansota,40.5,20.6,-49.1
Grand Rapids: Svansota,29.7,16.6,-44.1
Grand Rapids: Wisconsin No. 38,34.5,20.7,-40
Grand Rapids: No. 457,32.2,19.5,-39.4
Crookston: Peatland,41.6,25.2,-39.4
University Farm: No. 457,43.3,26.4,-39
Crookston: No. 462,48.6,30.5,-37.2
Grand Rapids: Manchuria,33,22.1,-33
University Farm: Velvet,39.9,26.8,-32.8
Duluth: No. 457,33.6,22.7,-32.4
Waseca: No. 462,65.8,44.7,-32.1
Waseca: Glabron,55.2,37.7,-31.7
Waseca: Manchuria,48.9,33.5,-31.5
Crookston: Glabron,38.1,26.2,-31.2
Grand Rapids: Trebi,29.8,20.6,-30.9
University Farm: No. 462,36.6,25.6,-30.1
Crookston: Wisconsin No. 38,49.9,35.9,-28.1
Waseca: No. 457,58.1,42.2,-27.4
Crookston: No. 475,44.1,32.1,-27.2
Waseca: Peatland,48.6,36,-25.9
Waseca: Velvet,50.2,37.4,-25.5
Crookston: No. 457,45.7,34.3,-24.9
Waseca: Trebi,63.8,49.2,-22.9
Grand Rapids: No. 475,19.7,15.2,-22.8
Grand Rapids: Peatland,34.7,26.8,-22.8
Crookston: Velvet,41.3,32.1,-22.3
Duluth: Manchuria,29,22.6,-22.1
University Farm: Svansota,35.1,27.4,-21.9
University Farm: Trebi,36.6,29.1,-20.5
Grand Rapids: No. 462,24.9,19.9,-20.1
Duluth: No. 462,28.1,22.5,-19.9
Waseca: Svansota,47.3,38.5,-18.6
Crookston: Manchuria,39.9,33,-17.3
Duluth: No. 475,33.1,27.4,-17.2
University Farm: Glabron,43.1,36.8,-14.6
Duluth: Velvet,26.3,22.5,-14.4
University Farm: Peatland,32.8,28.1,-14.3
Duluth: Svansota,25.7,22.2,-13.6
Duluth: Glabron,29.7,25.9,-12.8
Waseca: No. 475,46.8,41.3,-11.8
Crookston: Trebi,46.9,41.8,-10.9
Duluth: Trebi,33.9,30.6,-9.7
Duluth: Wisconsin No. 38,31.6,29.3,-7.3
University Farm: Wisconsin No. 38,39.3,38,-3.3
Duluth: Peatland,32,31.4,-1.9
Waseca: Wisconsin No. 38,58.8,58.2,-1
University Farm: Manchuria,27,26.9,-0.4
Morris: Trebi,43.8,46.6,6.4
University Farm: No. 475,24.7,30,21.5
Morris: Glabron,28.8,35.1,21.9
Morris: Manchuria,27.4,34.4,25.5
Morris: Svansota,25.8,35,35.7
Grand Rapids: Velvet,23,32.2,40
Morris: Peatland,29.9,43.2,44.5
Morris: Velvet,26.1,38.8,48.7
Morris: No. 457,28.7,43.5,51.6
Morris: No. 462,30.4,47,54.6
Morris: Wisconsin No. 38,29.5,47.2,60
Morris: No. 475,22.6,44.2,95.6